text,label,source
"""The critical mission was horribly executed."" is an example of ...",0,logical_fallacy
This is not environmentalism .,0,logical_fallacy
"Bill claims that tax breaks for corporations increases development. Of course, Bill is the CEO of a corporation.",1,logical_fallacy
The Freehold Raceway Mall is the best mall because there are always so many cars there.,0,logical_fallacy
something that kills is deadly,0,logical_fallacy
", motive, or other attribute of the person making the argument.",1,logical_fallacy
"""I will end this war in Iraq responsibly, and finish the fight against al Qaeda and the Taliban in Afghanistan. I will rebuild our military to meet future conflicts. But I will also renew the tough, direct diplomacy that can prevent Iran from obtaining nuclear weapons and curb Russian aggression. I will build new partnerships to defeat the threats of the 21st century: terrorism and nuclear proliferation; poverty and genocide; climate change and disease. And I will restore our moral standing, so that America is once again that last, best hope for all who are called to the cause of freedom, who long for lives of peace, and who yearn for a better future.""  Which appeal is the primary appeal used in this quote?",0,logical_fallacy
Delores is a big supporter for equal pay for equal work.  This is the same policy that all those extreme feminist groups support.  Extremists like Delores should not be taken seriously -- at least politically.,0,logical_fallacy
"Person 1:
""I am for raising the minimum wage in our state.""

Person 2:
""She is for raising the minimum wage, but she is not smart enough to even run a business.""",1,logical_fallacy
"Kelly is the most selfish, annoying person that I know. She says that we should recycle to help save the Earth, but she only thinks about herself, so she must be wrong.",1,logical_fallacy
"Speaker 1: I think the idea of a moral law requires the existence of a lawgiver (i.e. God).
Speaker 2: Of course you would say that. You’re a Christian. Why should we listen to you?",1,logical_fallacy
"Oh please, what do you know about labor laws? You don't even have a job.",1,logical_fallacy
There's no point listening to you. Everybody knows you're just a little do-gooder.,1,logical_fallacy
A mother who tells the pediatrician that she doesn't trust his judgment because he's never been a mother.,1,logical_fallacy
Santa has a red suit. My dad has a red suit. My dad must be Santa Claus! (This is an example of...),0,logical_fallacy
"Service Tech: Your car could use some new tires.
Bart: You have a financial interest in selling me tires, why should I trust you?
Service Tech: You brought your car to me to have it checked, sir.
Bart: I brought my car to the shop where you work.
Service Tech: So should we forget about the new tires for now?
Bart: I never suggested that.  Are you trying to use reverse psychology on me, so I will buy the tires?",0,logical_fallacy
Intentionally using negatively charged words is an example of which technique?,1,logical_fallacy
"""I knew him in high school and he almost flunked out. He can't be a good choice for mayor.""",1,logical_fallacy
"“ The Caitlin Expedition – supported by the Prince of Wales – in which Pen Haddow and his team had to abandon their trip to the North Pole because it was colder than they ’ d expected , ” he continued .",1,logical_fallacy
A commercial featuring starving children in Africa asking for donations to help provide food and clean water to those in need.,0,logical_fallacy
"Representative Gutierrez of Illinois, arguing in Congress on July 11, 1996, replying to Republicans arguing in favor of the ""Defense of Marriage Act"", a bill stipulating that 'marriage' be defined as being between a man and a woman only, excluding homosexual marriages: ""I now realize that my friends on the other side of the aisle aren't the least bit serious when they talk about how important it is for the federal government not to interfere in the lives of our people. I understand that they are just kidding - just teasing us - when they stress the importance of taking power out of Washington and giving it to local officials. And now I know that their biggest joke of all is that old line about family values - all that talk about encouraging people to care about and be committed to each other.""",1,logical_fallacy
"They are pleading with state and federal governments for guidance and help , including billions to pay for flood walls , pumps and road improvements that would buy them time . Yet Congress has largely ignored these pleas , and has even tried to block plans by the military to head off future problems at the numerous bases imperiled by a rising sea .",0,logical_fallacy
"Medical Student: ""No one objects to a physician looking up a difficult case in medical books. Why, then, shouldn't students taking a difficult examination be permitted to use their textbooks?""",0,logical_fallacy
"Boris is not qualified to make suggestions about our penal system. As an ex-convict, he would always take the criminals’ side.",1,logical_fallacy
"The record comes two days before Donald Trump , who has tweeted that global warming is a “ hoax , ” assumes the presidency and , with it , control over the two science agencies that announced these records .",0,logical_fallacy
"(1) William Dembski argues that modern biology supports the idea that there is an intelligent designer who created life.
(2) Dembski would say that because he’s religious.
Therefore:
(3) Modern biology doesn’t support intelligent design",1,logical_fallacy
This fallacy distracts from the argument by pointing out hypocrisy in the opponent.,1,logical_fallacy
"People asked whether there was a bug in the code , ” he said . “ But it boiled down to relatively small changes in the way clouds are represented in the models . ”",0,logical_fallacy
"Whitehouse , a scientist who works with Lord Lawson ’ s sceptic Global Warming Policy Foundation , said the massive fall in temperatures following the end of El Nino meant the warming hiatus or slowdown may be coming back .",0,logical_fallacy
"""I used to have that haircut. Then my mom got a job.""",1,logical_fallacy
1. “Michael Jordan wore his UNC shorts during every game he played in the NBA and he won 6 championships.”,0,logical_fallacy
"My opponent in this debate wants all of you to increase taxes for a recycling program, but his own company has been fined over a dozen times for pollution and environmental damage.",1,logical_fallacy
"""Let's look instead at what my opponent proposes to do with your hard earned money!""
This is an example of which type of logical fallacy?",0,logical_fallacy
"What this means , the report concludes , is that claims by NASA , NOAA , and the UK Met Office that the world is experiencing unprecedented and dramatic warming should be taken with a huge pinch of salt : they all use the same corrupted global average temperature ( GAST ) data . The conclusive findings of this research are that the three GAST data sets are not a valid representation of reality .",1,logical_fallacy
Dr. Bloom cannot be a competent marriage counselor because he is divorced.,1,logical_fallacy
My phone charger is broken because it doesn't work.,0,logical_fallacy
"Jamila is running for class president. In her campaign speech she says, ""Xavier does not deserve to win. He is a smoker and He cheated on his reading quizzes last year."" What fallacy has Jamila committed?",1,logical_fallacy
"In fact , Russia is permitted to increase its emissions approximately 50 % and China and India have no meaningful cap on emissions until 2030 .",1,logical_fallacy
"Before he died, poet Allen Ginsberg argued in favor of legalizing pornography. But Ginsberg's arguments are nothing but trash. Ginsberg was a pot-smoking homosexual and a thoroughgoing advocate of the drug culture.",1,logical_fallacy
"I refuse to stay on the 13th floor of any hotel because it is bad luck.  However, I don’t mind staying on the same floor as long as we call it the 14th floor.",0,logical_fallacy
"Sandy: ""You shouldn’t have that second piece of cake. It’s so fattening.""
Ralph: ""Didn’t you eat an entire tub of ice cream yesterday?""",1,logical_fallacy
politicians coin names to cast blame,1,logical_fallacy
"Louise is running for class president. In her campaign speech she says, ""My opponent does not deserve to win. She is a smoker and she cheated on her boyfriend last year."" What fallacy has Louise committed?",1,logical_fallacy
"Speaker 1: I think marijuana should be legalized. It would be better for the country if we didn’t have this drug war.
Speaker 2: Of course you think that. You’re a pothead.",1,logical_fallacy
"Green Peace's strategies aren't effective because they are all dirty, lazy hippies.",1,logical_fallacy
an attempt to persuade the reader/audience based on feelings or emotions; emotional response,0,logical_fallacy
Affirmative Action can never be fair or just. You cannot remedy one injustice by committing another.,0,logical_fallacy
use of people's desire to be part of the group to convince them,0,logical_fallacy
"John: Can you please help me push my car to the side of the road until the tow truck comes?
Paul: Why push it to the side of the road?  Why not just leave it?
John: It is slowing down traffic unnecessarily where it is.
Paul: Many things slow down traffic—do you feel you need to do something about all them?
John: No, but this was my fault.
Paul: Was it really? Were you the direct cause of your car breaking down?
John: Are you going to help me move this damn car or not?!",0,logical_fallacy
"Only a selfish, non-caring person would believe that this is ok.",1,logical_fallacy
Senator Ribbit is a liar. You shouldn't listen to him on anything.,1,logical_fallacy
Big trouble .,0,logical_fallacy
"in response to the claim that ""Eating fast food is unhealthy"": “But I saw you eat a burger and fries for lunch only a few hours ago!""",1,logical_fallacy
"Mrs. Collier, we can't take a quiz tomorrow! The new season of Game of Thrones premieres tonight!!",0,logical_fallacy
"Miller Lite is cheap beer, so the Guinness will be cheap, too",0,logical_fallacy
"Wilma: You cheated on your income tax. Don't you realize that's wrong
Walter: Hey, wait a minute. You cheated on your income tax last year. Or have you forgotten about that?",1,logical_fallacy
"Joseph can’t be class president, he’s poor!”",1,logical_fallacy
"Tony wants us to believe that the origin of life was an “accident”.  Tony is a godless SOB who has spent more time in jail than in church, so the only information we should consider from him is the best way to make license plates.",1,logical_fallacy
The mayor argued that we need to reduce funding for the animal shelter in order to balance the budget. Don't vote for someone who doesn't think the government should care about animals.,0,logical_fallacy
"You really should support Senator Jones and his campaign to strengthen national defense. If you do not, he will lose control of the Armed Forces Committee and likely resign from politics.",0,logical_fallacy
"Speaker 1: No fault divorce has proven to be detrimental to society and the family.
Speaker 2: You didn’t seem to think that when you got divorced.",1,logical_fallacy
"Until civility returns , our side can ask whether the critics are acting like the Gestapo of global warming .",1,logical_fallacy
"""He just says that because he's a Republican.""",1,logical_fallacy
"Person 1:
I am for raising the minimum wage in our state.
Person 2:
She is for raising the minimum wage, but she is not smart enough to even run a business.",1,logical_fallacy
"Thirty years later , they are still ignoring it , ” said Zybach , who spent more than 20 years as a reforestation contractor .",1,logical_fallacy
"There is no “ climate emergency ” , according to a study for the Global Warming Policy Foundation by independent scientist Dr Indur Goklany . Goklany concludes : While climate may have changed for the warmer :",0,logical_fallacy
My mom says that most tourist from France are rude. She had to wait on one the other day and the lady threw her pancakes on the ground because they were not big enough.,0,logical_fallacy
"Helga: You should not be eating that... it has been scientifically proven that eating fat burgers are no good for your health.

Hugh: You eat fat burgers all the time so that can’t be true.",1,logical_fallacy
Perhaps there is good news in the ugliness of desperate activists who are trying to get their issue out front .,1,logical_fallacy
"""How would you know anything about technology? You're too old!""",1,logical_fallacy
"Billy - ""Spanish is easy."" Bobby - ""Don't listen to Billy; he failed Spanish class last year. """,1,logical_fallacy
"Why does the law state that you have to be 21 years old to drink?  Does it really make any difference if you are 20 years and 364 days old?  That is absurd.  Therefore, if a single day makes no difference, then a collection of 1095 single days won’t make any difference. Therefore, changing the drinking age to 18 will not make any difference.",0,logical_fallacy
Of course Marx' theories about the ideal society are bunk. The guy spent all his time in the library.,1,logical_fallacy
"John says that Kentucky will beat Florida, but John sometimes lies, so I'm not sure.",1,logical_fallacy
"""Drivers in Richmond are terrible. Why does everyone in a big city drive like that?""",1,logical_fallacy
"Bill, you drive a beat-up car from the 1980s. For this reason, we can never allow you to be a lifeguard at the community pool.",1,logical_fallacy
"David is so wrong about Luna's work ethic. David is just an egotistical jerk with a God complex, what does he know?",1,logical_fallacy
"That candidate wants to raise the minimum wage, but they aren't even smart enough to run a business.",1,logical_fallacy
"Dan White ate a lot of Twinkies and then killed the Mayor of San Francisco. If I were a mayor, I’d ban Twinkies so no one would kill me.",0,logical_fallacy
"My friend told me to quit singing in the car since I have a ""bad voice."" She sings in the car all of the time!",1,logical_fallacy
someone who is poor is more credible than someone who is rich?,0,logical_fallacy
"President Bush argues that we should open up the Arctic National Wildlife Refuge for oil drilling. But Bush just wants to reward his rich cronies in the oil industry, so we can't take his arguments seriously.",1,logical_fallacy
"Buddy Burger has the greatest food in town.  Buddy Burger was voted #1 by the local paper.  Therefore, Phil, the owner of Buddy Burger, should run for president of the United States.",0,logical_fallacy
"The former president ’ s decision created a ticking time bomb , Zybach argues .
“",1,logical_fallacy
"Before women got the vote, there were no nuclear weapons",0,logical_fallacy
My opponent argues that we should abolish the soda tax. It's a shame that he wants to encourage people to eat and drink unhealthily. I say we keep it.,0,logical_fallacy
Yet other scientists claim this is a red herring because of the positive feedback loop created by water vapour .,0,logical_fallacy
"CO2 is certainly a heat-trapping greenhouse gas , but hardly the primary one : Water vapor accounts for about 95 percent of greenhouse gases . By contrast , carbon dioxide is only a trace component in the atmosphere : about 400 ppm ( parts per million ) , or 0.04 percent .",0,logical_fallacy
"Every time I wash my car, it rains the next day. My car washing definitely affects the weather.",0,logical_fallacy
"Michael Jackson, Kurt Cobain, and Jimi Hendrix were rock stars who died young. Therefore, if you become a rock star, don’t expect to live a long life.",0,logical_fallacy
"“ Our children and grandchildren will look back on the climate deniers and ask how they could have sacrificed the planet for the sake of cheap fossil fuel energy , when the cost of inaction exceeds the cost of a transition to a low-carbon economy , ” Watson said . Trump is aiming to cut climate change research .",1,logical_fallacy
"Speaker 1 (Democrat): “Donald Trump is a known adulterer. It reflects badly on his character, and suggests he might not be trustworthy.”
Speaker 2 (Republican): “What about Bill Clinton? You didn’t seem to care when he cheated.”",1,logical_fallacy
Most people expect this year will see a record low in the Arctic ’ s summer sea-ice cover .,0,logical_fallacy
"Minds, like rivers, can be broad. The broader the river, the shallower it is. Therefore, the broader the mind, the shallower it is.",0,logical_fallacy
"In a recent list of the 25 cleanest cities in the world , the only country to boast three cities among the cleanest on the planet was the United States of America , with Chicago coming in second place , Honolulu coming in fourth , and Portland , OR , coming in sixteenth . Unsurprisingly , no cities from China , Russia or India made the list at all . Similarly , another list of the 15 most polluted cities in the world featured three cities from China , three cities from Saudi Arabia , and a whopping seven cities from India .",0,logical_fallacy
We cannot listen to John’s opinion on global warming because he is a tree hugger.,1,logical_fallacy
Even the BBC has admitted to Ofcom that the corporation is now biased on the matter because it no longer thinks there is a counter-argument .,1,logical_fallacy
The word “ denier ” is of course meant to associate skeptics of climate alarmism with Holocaust deniers .,0,logical_fallacy
He can't be a great athlete; he didn't adopt the stray dog on the street.,1,logical_fallacy
Guns are like hammers--they're both tools with metal parts that could be used to kill someone. And yet it would be ridiculous to restrict the purchase of hammers--so restrictions on purchasing guns are equally ridiculous.,0,logical_fallacy
"The climate denialists ’ arguments have become so strained that even oil and coal companies have distanced themselves publicly , though some still help to finance the campaigns of politicians who espouse such views .",1,logical_fallacy
"Ted: Biological evolution is both a theory and a fact.
Edwin: That is ridiculous!  How can you possibly be absolutely certain that we evolved from pond scum!
Ted: Actually, that is a gross misrepresentation of my assertion.  I never claimed we evolved from pond scum.  Unlike math and logic, science is based on empirical evidence and, therefore, a scientific fact is something that is confirmed to such a degree that it would be perverse to withhold provisional consent.  The empirical evidence for the fact that biological evolution does occur falls into this category.",0,logical_fallacy
"`` The impact of astronomical cycles on climate can be quite large , '' explains Meyers , noting as an example the pacing of the Earth ’ s ice ages , which have been reliably matched to periodic changes in the shape of Earth ’ s orbit , and the tilt of our planet on its axis .",0,logical_fallacy
Context is important when reviewing climate and temperature data .,0,logical_fallacy
All women care about are their looks.,0,logical_fallacy
"The anti-terrorist laws that monitor international currency transfers, phone calls, and emails are the first step to turning our fragile democracy into a new Nazi regime.",0,logical_fallacy
"during the presidential campaign of 1800, John Adams was called 'a fool, a gross hypocrite and an unprincipled oppressor.' His rival, Thomas Jefferson, on the other hand, was deemed 'an uncivilized atheist, anti-American, a tool for the godless French.'",1,logical_fallacy
"Louise is running for class president. In her campaign speech she says, ""My opponent does not deserve to win. She is a smoker and she cheated on her boyfriend last year."" What fallacy has Louise committed?
http://www.funtrivia.com",1,logical_fallacy
Leonardo DiCaprio is just a dumb actor. What does he really know about climate change?,1,logical_fallacy
The writer or speaker intentionally misleads the audience by using a word with a double or ambiguous meaning.,0,logical_fallacy
"What it does do is lend credence to something we much-maligned sceptics have long been saying : that in many environmental fields , the science is being abused and distorted to promote a political and financial agenda .",0,logical_fallacy
"Doug is convinced he has lucky underwear. One time when he forgot to put on his lucky underwear, he got a parking ticket. Doug concludes that because he forgot to wear his lucky underwear, he got the ticket. Doug doesn't wash his lucky underwear often. This part isn't relevant to the example, but it is disturbing nonetheless.",0,logical_fallacy
"But the cry
of “ global warming ” has grown ever more shrill .",1,logical_fallacy
We cannot approve of this recycling idea. It was thought of by a bunch of hippie communist weirdos.,1,logical_fallacy
"person 1 : ""We should argue with logic facts""
person 2: ""You should grow a brain before you open your mouth""",1,logical_fallacy
"“ When you look at the historical record , there ’ s no trend saying the flooding is going down , ” said Dr. Sweet , the NOAA expert . “ The trends are all very clear . They ’ re going up , and they ’ re going up in many of these areas in an accelerating fashion . ”",0,logical_fallacy
"My opponent is an untrustworthy liar and an idiot. Therefore, you should believe me.",1,logical_fallacy
"""I can't understand how such a low performance student is able to talk about politics"" is an example of",1,logical_fallacy
"""I see no reason to listen to Smith. Anything he says will be influenced by his interest in civil rights. His statements are bound to be distorted and unreliable.""

What logical fallacy is used in the statement above?",1,logical_fallacy
"involves acceptance or rejection of concepts based on their source, not their merit",1,logical_fallacy
People who don't like K-pop are racist.,1,logical_fallacy
"“ I ’ m a Republican , but I also realize , by any objective analysis , the sea level is rising , ” said Jason Buelterman , the mayor of tiny Tybee Island , one of the first Georgia communities to adopt a detailed climate plan .",0,logical_fallacy
If I don't get this 5 point assignment done then I will fall behind in my grade and will get backed up so I can't get my other assignment done. Then I will fail the class and turn to a life of crime.,0,logical_fallacy
Mr. Casal is a bad teacher because he stinks.,1,logical_fallacy
"Helga: You should not be eating that... it has been scientifically proven that eating fat burgers are no good for your health.
Hugh: You eat fat burgers all the time so that can’t be true.",1,logical_fallacy
Christine has a terrible experience with a boyfriend. She decides that all boys are mean. This is an example of which logical fallacy?,0,logical_fallacy
Almost everyone at my school will be at the party Friday night. It must be the right thing to do.,0,logical_fallacy
These facts refute the claim that Earth is spiraling into one man-made climate catastrophe after another .,0,logical_fallacy
It is ridiculous to have spent thousands of dollars to rescue those two whales trapped in the Arctic ice. Why look at all the people trapped in jobs they don’t like.,0,logical_fallacy
Come on! Everyone else thinks the movie is great - you should too!,0,logical_fallacy
"""Don't listen to Mr. Fingers when he says walk in the hallways. How can you trust someone who wears bow ties?""",1,logical_fallacy
"Nature gives people diseases and sickness; therefore, it is morally wrong to interfere with nature and treat sick people with medicine.",0,logical_fallacy
"She asserts that we need more military spending, but that is false, since she is only saying it because she is a Republican.",1,logical_fallacy
"And for the media it ’ s ideology , money , and headlines .",1,logical_fallacy
You're wrong because you're ugly!,1,logical_fallacy
Physical science has turned into profit-maximizing political science .,1,logical_fallacy
"""Everyone wants to be an English teacher.""",0,logical_fallacy
Love America or leave it.,0,logical_fallacy
"Playing on a general tendency for people to fear change , EDF and global warming alarmists argue that changes in the biosphere that make it richer , lusher , and more conducive to life are changes to be feared and opposed .",0,logical_fallacy
"My teacher says the Earth is flat, so it definitely is flat.",1,logical_fallacy
"The research and reasoning that supposedly supports (or that supposedly discredits) this intervention are a joke. The researchers are people who are not methodologically sophisticated and there have been rumors--I have no idea whether they're true or not--that they faked some of the data. The advocates (or opponents) of this intervention are the worst kind of sloppy thinkers. They are fanatical adherents who already have their minds made up; they've become true believers in their cause. They make arguments only a stupid person would accept, and mistakes in reasoning that would make an undergrad psych major blush. These are not the kind of people who deserve to be taken seriously.",1,logical_fallacy
Only after government overseers make these highly suspect adjustments are temperature “ records ” capable of showing anything approaching record warmth .,1,logical_fallacy
The Democrats support more aggressive gun control laws. Can you believe they want to deny repeat offenders and those on the terrorist watch list their rights?,1,logical_fallacy
"Charlie: Fast food is filled with salt, fat, and added sugars. We need better regulation of the industry.
Bob: That my be, but you're such a hypocrite! I saw you devour a Triple-Baconator, super-sized fries, and 64oz of soda yesterday!",1,logical_fallacy
A politician arguing that his opponent cannot possibly be a good choice for women because he has been married and divorced five times.,1,logical_fallacy
A commercial shows images of animals in need to persuade the audience to make donations.,0,logical_fallacy
You can't be my partner in class because you didn't donate to the Hurricane Sandy fundraiser.,1,logical_fallacy
"Yet for all the hyperventilating , Pruitt ’ s answer to the question he was asked — whether carbon dioxide is the climate ’ s “ primary control knob ” — was entirely sound . “ We don ’ t know that yet , ” he said .",1,logical_fallacy
a movie reviewer who dislikes a Tom Cruise movie because of the actor's religion and tries to impose negative bias in the audience members' minds before they see the film.,1,logical_fallacy
It gives you that nagging feeling that maybe global warming is real after all .,0,logical_fallacy
"Charlie: Fast food is filled with salt, fat, and added sugars. We need better regulation of the industry.
Bob: That may be, but you’re such a hypocrite! I saw you devour a Triple-Baconator, super-sized fries, and 64 ounces of soda yesterday.",1,logical_fallacy
"Marty: Doc, I'm from the future. I came here in a time machine that you invented. Now, I need your help to get back to the year 1985.
Doc: I've had enough practical jokes for one evening. Good night, future boy!",0,logical_fallacy
Politician: We have to decide if we are going to support school choice or if we are going to support failing schools. Those are the only two options.,0,logical_fallacy
"According to Freud, your belief in God stems from your need for a strong father figure. So don’t you see that it’s silly to continue believing in God?",1,logical_fallacy
"The Earth has experienced five mass extinctions before the one we are living through now , each so complete a slate-wiping of the evolutionary record it functioned as a resetting of the planetary clock , and many climate scientists will tell you they are the best analog for the ecological future we are diving headlong into .",0,logical_fallacy
"Some one billion people would be forced to attempt to relocate from unlivable conditions , and two billion would face scarcity of water supplies . Agriculture would collapse in the sub-tropics , and food production would suffer dramatically worldwide . The internal cohesion of nation-states like the US and China would unravel .",0,logical_fallacy
"Jason and his family are heading to Utah to spend a week skiing. Looking at the weather reports, he notices that it is supposed to be warmer, making for lousy ski conditions. Angrily, he calls the Weather Channel and demands that they change their forecast so he will have better weather for the trip.",0,logical_fallacy
"Yet the trend for landfalling typhoons around the Philippines has actually declined since 1950 , according to a study published in 2012 by the American Meteorological Society ’ s Journal of Climate .",0,logical_fallacy
"But I ’ m afraid , human nature being what it is , the thing gets exaggerated out of all proportion , and the greens have behaved deplorably instead of being reasonably sensible . ”",1,logical_fallacy
"This trick, which literally means ""to the guy,"" distorts a person's character subtly or blatantly, undermining their reputation regardless of how compelling their point is.",1,logical_fallacy
No one should believe our dear lady Senator who have had an adulterous relationship.,1,logical_fallacy
"Having come from the same political party, he is sure to communicate biased and untrue claims about his party-mates",1,logical_fallacy
"Gertrude: I am tired of having to fill out these forms all day. Can't we find a more efficient system?
Cindy-Lou: If you're not happy with the way we do things, we can find someone who is!",1,logical_fallacy
"""Who are you to ask fast food restaurants to give us nutritional facts? I saw you eat Taco Bell last night!""",1,logical_fallacy
"It ’ s been my life managing water quality , we ’ ve failed . ”",0,logical_fallacy
"My sister loves shopping, so all girls must love to shop too.",0,logical_fallacy
"If you get your news only from mainstream media , you would likely believe that CO2 levels are dangerously high and unprecedented .",0,logical_fallacy
"In the past decade China has increased its carbon dioxide emissions by 53 per cent , 12 times Australia ’ s total carbon dioxide output of 1.3 per cent of the global total .",0,logical_fallacy
"Rather than follow the time-tested practice used by the World Health Organization , which measures levels of disease-causing pollutants that get into people ’ s lungs , some have played a shell game , swapping a new measure of “ pollution ” based solely on emissions of carbon dioxide .",1,logical_fallacy
